question_id,question,rank,job_id,answer,source_url,crawl_time,data_origin,retrieval_score,skill_match,criterion_hit
1,有哪些适合 Python 和 SQL 的远程数据分析岗位？,1,587e62d3955e4cd5762c8075,岗位：Sr. Data Analyst I；公司：Reserv；类别：Data Science；技能：data analyst | business intelligence analyst | claims analytics | senior level data analyst | senior data analytics | senior analytics analyst | senior bi and data analyst | senior bi and analytics analyst | senior data analyst jobs | senior bi analyst；地区：United States；薪资：未披露,https://himalayas.app/companies/reserv/jobs/sr-data-analyst-i-5384728223,2026-09-08T13:19:08.417529+00:00,authorized_api_collection,0.175009,"python,sql",1
1,有哪些适合 Python 和 SQL 的远程数据分析岗位？,2,e30bb894d570bfa7ec374f5b,岗位：Senior Data Engineer；公司：Tabby；类别：Data Science；技能：data engineering | data engineer | backend engineering | etl pipeline development | feature stores | senior data engineering | senior data engineer jobs | senior data engineer positions；地区：Poland；薪资：未披露,https://himalayas.app/companies/tabby/jobs/senior-data-engineer-3543063080,2026-09-08T13:23:33.513532+00:00,authorized_api_collection,0.166942,"python,sql",1
1,有哪些适合 Python 和 SQL 的远程数据分析岗位？,3,188cee8008f6a7c80c57a35d,岗位：Desenvolvedor(a) Python Sênior；公司：Grupo Data；类别：Engineering；技能：python developer | backend engineer | software engineer | distributed systems developer | desarrollador python senior | senior python developer (south america)；地区：Portugal；薪资：未披露,https://himalayas.app/companies/grupo-data/jobs/desenvolvedor-a-python-senior,2026-09-08T13:01:15.474784+00:00,authorized_api_collection,0.166364,"python,sql",0
2,哪些岗位要求 machine learning 技能？,1,6d2e6f6a32147a28936f5c7d,岗位：Machine Learning Expert - Fully Remote | Upto $90/hr；公司：mercor；类别：Data Science；技能：machine learning research | ai research scientist | ml engineering | deep learning research | research science | remote machine learning engineer | freelance machine learning engineer | machine learning developer | machine learning expert | machine learning specialist | ai machine learning specialist；地区：United States；薪资：未披露,https://himalayas.app/companies/mercor/jobs/machine-learning-expert-fully-remote-upto-90-hr-5945044061,2026-09-08T12:53:52.386472+00:00,authorized_api_collection,0.285854,machine learning,1
2,哪些岗位要求 machine learning 技能？,2,e38b153b13b09dc13396c885,岗位：Machine Learning (ML) AI Task Auditor - Freelance AI Trainer Project；公司：Invisible Technologies；类别：Data Science；技能：machine learning | ai training | ai auditing | machine learning qa | technical review | freelance ai trainer | ai training freelance | freelance ai model trainer | freelance ai training specialist | freelance ai data trainer | ai ml freelance | ai trainer；地区：未披露；薪资：USD 70-100 hourly,https://himalayas.app/companies/inv/jobs/machine-learning-ml-ai-task-auditor-freelance-ai-trainer-project,2026-09-08T12:56:48.498635+00:00,authorized_api_collection,0.270478,machine learning,1
2,哪些岗位要求 machine learning 技能？,3,814b583a2cc5064fd6393532,"岗位：Machine Learning Engineer (Remote or Relocation to Montenegro)；公司：Libertex Group；类别：Data Science；技能：machine learning engineering | mlops | data science | fintech | ai engineering | machine learning engineer | machine learning engineer jobs | lead machine learning engineer | ai ml engineer | machine learning research engineer；地区：Armenia, Georgia, Montenegro, Serbia, Spain, Turkey；薪资：未披露",https://himalayas.app/companies/libertex-group/jobs/machine-learning-engineer-remote-or-relocation-to-montenegro,2026-09-08T12:51:31.864180+00:00,authorized_api_collection,0.263661,machine learning,1
3,有哪些岗位属于 Engineering 类别？,1,d2d6fc65eb052c26df2f6ee1,岗位：Senior Manager Software Engineering；公司：Verisk；类别：Engineering；技能：engineering manager | technology leadership | engineering management | software engineering management | software development leadership | it management | manager software engineer | software engineering manager；地区：United States；薪资：未披露,https://himalayas.app/companies/verisk/jobs/senior-manager-software-engineering,2026-09-08T12:53:58.782181+00:00,authorized_api_collection,0.12801,,1
3,有哪些岗位属于 Engineering 类别？,2,a31c0c325470587e440cd565,岗位：Air Systems；公司：SAPSOL Technologies Inc.；类别：Engineering；技能：aerospace engineering | air systems engineering | pneumatics engineering | aircraft systems engineering | systems engineering | bleed air systems engineering | pneumatic systems engineering | faa systems；地区：Canada；薪资：未披露,https://himalayas.app/companies/sapsol-technologies-inc/jobs/air-systems,2026-09-08T12:53:37.899312+00:00,authorized_api_collection,0.125907,,1
3,有哪些岗位属于 Engineering 类别？,3,5663af856382c8ee0e1e9b13,岗位：核心开发(Trading Engine Core Dev)；公司：Gate；类别：Engineering；技能：fintech | backend development | trading systems | high frequency trading | systems engineering | trading systems software engineer | trading systems engineer | trading systems backend engineer | trading engineering | trading systems engineering | senior trading systems engineer | trading systems developer | senior trading technology engineer | trading platform development | r&d；地区：China；薪资：未披露,https://himalayas.app/companies/gate/jobs/trading-engine-core-dev,2026-09-08T13:22:39.813495+00:00,authorized_api_collection,0.1193,,1
4,哪些岗位包含 Excel 和 Tableau？,1,41dc971c86011e30d9c32c37,岗位：Tableau CRM Business Analyst；公司：PradeepIT Consulting Services Pvt Ltd；类别：Data Science；技能：business analyst | tableau crm analyst | salesforce analyst | crm business analyst | business intelligence analyst | salesforce business analyst | salesforce crma analyst；地区：India；薪资：未披露,https://himalayas.app/companies/pradeepit-consulting-services-pvt-ltd/jobs/tableau-crm-business-analyst,2026-09-08T12:46:59.034317+00:00,authorized_api_collection,0.29946,tableau,0
